Nome,Idade,Série,Nota Média,Endereço,Nome do Pai,Nome da Mãe,Data de Nascimento
Alicel,10,5,8.5,"123 Main St","John Doe","Jane Doe","2013-05-15"
Michelle,62,7,7.5,"52840 Ramirez View","Daniel Brown","Melissa White","2013-04-05"
"Jennifer Clark","","5","8.6","","","","1977-03-08"
"John Rodriguez","25","","9.4","7725 Douglas Trace Suite 000","Matthew Martinez","Nicole Bradley","1997-09-22"
"Michael Smith","67","7","","","Matthew Adams","Samantha Lewis","1955-05-30"
"Amanda Harris","18","10","","","Joseph Hernandez","Samantha Lewis","2004-02-11"
"Linda Johnson","92","","","86552 Derek Lights","Michael Hernandez","Kristen Johnson","1930-07-24"
"Daniel Williams","35","6","6.3","","","","1987-12-18"
"Susan Martin","82","9","3.8","30538 Jones Spur","Alexander Silva","","1941-10-05"
"Jennifer Thompson","39","9","9.1","43906 Nicole Junction","Robert Thompson","Cynthia Thompson","1983-11-10"
"Christopher Wilson","81","8","","","Michael Wilson","Cynthia Wilson","1942-08-30"
"Kimberly Rodriguez","27","","8.9","515 Williams Divide","Joseph Rodriguez","Jennifer Wilson","1995-06-28"
"Emily Taylor","58","","6.8","377 Kimberly Locks Suite 776","Brian Taylor","Laura Williams","1965-07-17"
"Melissa Anderson","73","6","","","Michael Johnson","Jennifer Lewis","1949-03-01"
"Jessica Moore","47","5","7.2","5794 Moore Mountain Suite 834","Richard Moore","Melissa Lewis","1976-02-20"
"William Walker","85","","5.7","91921 Myers Circles Suite 722","Richard Johnson","Melissa Wilson","1937-10-31"
"Steven Perez","34","","9.8","386 Matthew Viaduct","Christopher Perez","Karen Thomas","1988-09-03"
"Sarah Green","28","10","6.3","","Anthony Johnson","Michelle Thompson","1994-12-14"
"Edward Martinez","56","","4.5","19131 Jeffery Extensions Apt. 722","Michael Martinez","Michelle Wilson","1967-08-09"
"Barbara Jackson","73","","9.9","95607 Brown Walks Suite 225","Daniel Williams","Jessica Hernandez","1949-04-19"
"Jose Rodriguez","33","6","6.1","38190 Mccarthy Throughway Suite 842","David Williams","Samantha Jackson","1989-05-25"
"Robert White","67","8","","","Michael Rodriguez","Amanda Johnson","1955-10-11"
"Nancy Thomas","61","9","","42635 Spencer Crossroad Apt. 747","Michael Thomas","Cynthia Lewis","1961-06-27"
"Lisa Brown","50","7","8.3","9698 Garcia Burgs Suite 644","Daniel Thomas","Melissa White","1972-08-13"
"Jessica Garcia","46","","8.2","27473 Amanda Extension Suite 563","David White","Nicole Martinez","1976-02-06"
"Matthew Johnson","28","10","9.2","","Michael Johnson","Melissa Garcia","1994-04-24"
"William Martinez","84","","6.5","11898 Davis Views Apt. 415","Brian Wilson","Cynthia Taylor","1938-02-03"
"Melissa Martinez","69","5","","","Michael Rodriguez","Sarah Johnson","1953-06-15"
